MeanFitness, StdFitness, MaxFitness
0.78,0.02,0.84
0.78,0.02,0.84
0.78,0.02,0.85
0.79,0.02,0.85
0.79,0.02,0.86
0.79,0.02,0.86
0.79,0.02,0.87
0.80,0.02,0.87
0.80,0.02,0.87
0.80,0.02,0.87
0.80,0.02,0.87
0.81,0.02,0.87
0.81,0.02,0.87
0.81,0.02,0.87
0.81,0.02,0.87
0.81,0.02,0.88
0.82,0.02,0.88
0.82,0.02,0.88
0.82,0.02,0.88
0.82,0.02,0.88
0.82,0.02,0.89
0.82,0.02,0.89
0.82,0.02,0.89
0.82,0.02,0.89
0.83,0.02,0.91
0.83,0.02,0.91
0.83,0.02,0.91
0.83,0.02,0.91
0.83,0.02,0.91
0.83,0.02,0.91
0.83,0.02,0.91
0.83,0.02,0.91
0.84,0.02,0.91
0.84,0.02,0.91
0.84,0.02,0.93
0.84,0.02,0.93
0.84,0.02,0.93
0.84,0.02,0.93
0.84,0.02,0.93
0.85,0.02,0.93
0.85,0.02,0.93
0.85,0.02,0.93
0.85,0.02,0.93
0.85,0.02,0.93
0.85,0.02,0.93
0.85,0.02,0.93
0.85,0.02,0.93
0.85,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.86,0.02,0.93
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.87,0.02,0.94
0.88,0.02,0.94
0.87,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
0.88,0.02,0.94
