MeanFitness, StdFitness, MaxFitness
0.79,0.01,0.83
0.79,0.01,0.83
0.80,0.01,0.83
0.80,0.01,0.83
0.80,0.01,0.83
0.80,0.01,0.83
0.80,0.01,0.83
0.80,0.01,0.83
0.80,0.01,0.83
0.81,0.01,0.83
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.82,0.01,0.84
0.82,0.01,0.85
0.82,0.01,0.85
0.82,0.01,0.85
0.82,0.01,0.85
0.82,0.01,0.85
0.82,0.01,0.85
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
